feature_gas_0,feature_gas_1,feature_gas_2,feature_gas_3,feature_gas_4,target_gas_5
400.36,400.28,400.4,399.46,360.16,332.92
400.28,400.4,399.46,360.16,332.92,331.8
400.4,399.46,360.16,332.92,331.8,335.08
399.46,360.16,332.92,331.8,335.08,335.76190476190476
360.16,332.92,331.8,335.08,335.76190476190476,356.6333333333333
332.92,331.8,335.08,335.76190476190476,356.6333333333333,362.26
331.8,335.08,335.76190476190476,356.6333333333333,362.26,360.58
335.08,335.76190476190476,356.6333333333333,362.26,360.58,360.72972972972974
335.76190476190476,356.6333333333333,362.26,360.58,360.72972972972974,361.54
356.6333333333333,362.26,360.58,360.72972972972974,361.54,361.38
362.26,360.58,360.72972972972974,361.54,361.38,366.36
360.58,360.72972972972974,361.54,361.38,366.36,360.48
360.72972972972974,361.54,361.38,366.36,360.48,362.66
361.54,361.38,366.36,360.48,362.66,341.58
361.38,366.36,360.48,362.66,341.58,343.26
366.36,360.48,362.66,341.58,343.26,341.4
360.48,362.66,341.58,343.26,341.4,350.3469387755102
362.66,341.58,343.26,341.4,350.3469387755102,337.86
341.58,343.26,341.4,350.3469387755102,337.86,342.36170212765956
343.26,341.4,350.3469387755102,337.86,342.36170212765956,342.9591836734694
341.4,350.3469387755102,337.86,342.36170212765956,342.9591836734694,341.5
350.3469387755102,337.86,342.36170212765956,342.9591836734694,341.5,332.34
337.86,342.36170212765956,342.9591836734694,341.5,332.34,331.6
342.36170212765956,342.9591836734694,341.5,332.34,331.6,331.94
342.9591836734694,341.5,332.34,331.6,331.94,331.5
341.5,332.34,331.6,331.94,331.5,323.96
332.34,331.6,331.94,331.5,323.96,327.08
331.6,331.94,331.5,323.96,327.08,333.7291666666667
331.94,331.5,323.96,327.08,333.7291666666667,332.0612244897959
331.5,323.96,327.08,333.7291666666667,332.0612244897959,332.54
323.96,327.08,333.7291666666667,332.0612244897959,332.54,332.34
327.08,333.7291666666667,332.0612244897959,332.54,332.34,332.24
333.7291666666667,332.0612244897959,332.54,332.34,332.24,332.38
332.0612244897959,332.54,332.34,332.24,332.38,332.6
332.54,332.34,332.24,332.38,332.6,332.3265306122449
332.34,332.24,332.38,332.6,332.3265306122449,332.02
332.24,332.38,332.6,332.3265306122449,332.02,331.94
332.38,332.6,332.3265306122449,332.02,331.94,332.26
332.6,332.3265306122449,332.02,331.94,332.26,332.12
332.3265306122449,332.02,331.94,332.26,332.12,331.3
332.02,331.94,332.26,332.12,331.3,332.18367346938777
331.94,332.26,332.12,331.3,332.18367346938777,332.36
332.26,332.12,331.3,332.18367346938777,332.36,331.2307692307692
332.12,331.3,332.18367346938777,332.36,331.2307692307692,331.92
331.3,332.18367346938777,332.36,331.2307692307692,331.92,332.06
332.18367346938777,332.36,331.2307692307692,331.92,332.06,331.86
332.36,331.2307692307692,331.92,332.06,331.86,332.3
331.2307692307692,331.92,332.06,331.86,332.3,332.0816326530612
331.92,332.06,331.86,332.3,332.0816326530612,332.28
332.06,331.86,332.3,332.0816326530612,332.28,332.28
331.86,332.3,332.0816326530612,332.28,332.28,332.54
332.3,332.0816326530612,332.28,332.28,332.54,332.32
332.0816326530612,332.28,332.28,332.54,332.32,331.08
332.28,332.28,332.54,332.32,331.08,332.12
332.28,332.54,332.32,331.08,332.12,331.66
332.54,332.32,331.08,332.12,331.66,331.94
332.32,331.08,332.12,331.66,331.94,331.92
331.08,332.12,331.66,331.94,331.92,332.96
332.12,331.66,331.94,331.92,332.96,332.98
331.66,331.94,331.92,332.96,332.98,332.59183673469386
331.94,331.92,332.96,332.98,332.59183673469386,332.72
331.92,332.96,332.98,332.59183673469386,332.72,331.68
332.96,332.98,332.59183673469386,332.72,331.68,332.58
332.98,332.59183673469386,332.72,331.68,332.58,331.55102040816325
332.59183673469386,332.72,331.68,332.58,331.55102040816325,331.98
332.72,331.68,332.58,331.55102040816325,331.98,334.76
331.68,332.58,331.55102040816325,331.98,334.76,331.2
332.58,331.55102040816325,331.98,334.76,331.2,331.98
331.55102040816325,331.98,334.76,331.2,331.98,332.58
331.98,334.76,331.2,331.98,332.58,341.14285714285717
334.76,331.2,331.98,332.58,341.14285714285717,325.625
331.2,331.98,332.58,341.14285714285717,325.625,327.52
331.98,332.58,341.14285714285717,325.625,327.52,331.06
332.58,341.14285714285717,325.625,327.52,331.06,333.44
341.14285714285717,325.625,327.52,331.06,333.44,332.64
325.625,327.52,331.06,333.44,332.64,331.86
327.52,331.06,333.44,332.64,331.86,331.7959183673469
331.06,333.44,332.64,331.86,331.7959183673469,335.3
333.44,332.64,331.86,331.7959183673469,335.3,324.18
332.64,331.86,331.7959183673469,335.3,324.18,335.62
331.86,331.7959183673469,335.3,324.18,335.62,331.76
331.7959183673469,335.3,324.18,335.62,331.76,331.42
335.3,324.18,335.62,331.76,331.42,320.3469387755102
324.18,335.62,331.76,331.42,320.3469387755102,330.14
335.62,331.76,331.42,320.3469387755102,330.14,331.1020408163265
331.76,331.42,320.3469387755102,330.14,331.1020408163265,316.96
331.42,320.3469387755102,330.14,331.1020408163265,316.96,329.46
320.3469387755102,330.14,331.1020408163265,316.96,329.46,331.63829787234044
330.14,331.1020408163265,316.96,329.46,331.63829787234044,331.62
331.1020408163265,316.96,329.46,331.63829787234044,331.62,333.5
316.96,329.46,331.63829787234044,331.62,333.5,332.66
329.46,331.63829787234044,331.62,333.5,332.66,332.18
331.63829787234044,331.62,333.5,332.66,332.18,331.7843137254902
331.62,333.5,332.66,332.18,331.7843137254902,331.32
333.5,332.66,332.18,331.7843137254902,331.32,331.64
332.66,332.18,331.7843137254902,331.32,331.64,332.18
332.18,331.7843137254902,331.32,331.64,332.18,328.86
331.7843137254902,331.32,331.64,332.18,328.86,298.2708333333333
331.32,331.64,332.18,328.86,298.2708333333333,280.80434782608694
331.64,332.18,328.86,298.2708333333333,280.80434782608694,266.2173913043478
332.18,328.86,298.2708333333333,280.80434782608694,266.2173913043478,255.07142857142858
328.86,298.2708333333333,280.80434782608694,266.2173913043478,255.07142857142858,246.92
298.2708333333333,280.80434782608694,266.2173913043478,255.07142857142858,246.92,240.24
280.80434782608694,266.2173913043478,255.07142857142858,246.92,240.24,234.375
266.2173913043478,255.07142857142858,246.92,240.24,234.375,229.6
255.07142857142858,246.92,240.24,234.375,229.6,225.96
246.92,240.24,234.375,229.6,225.96,223.08
240.24,234.375,229.6,225.96,223.08,220.94
234.375,229.6,225.96,223.08,220.94,218.66
229.6,225.96,223.08,220.94,218.66,216.95833333333334
225.96,223.08,220.94,218.66,216.95833333333334,215.02
223.08,220.94,218.66,216.95833333333334,215.02,213.4
220.94,218.66,216.95833333333334,215.02,213.4,211.58
218.66,216.95833333333334,215.02,213.4,211.58,210.02
216.95833333333334,215.02,213.4,211.58,210.02,208.54
215.02,213.4,211.58,210.02,208.54,207.26
213.4,211.58,210.02,208.54,207.26,205.87755102040816
211.58,210.02,208.54,207.26,205.87755102040816,204.32
210.02,208.54,207.26,205.87755102040816,204.32,203.56
208.54,207.26,205.87755102040816,204.32,203.56,203.0
207.26,205.87755102040816,204.32,203.56,203.0,202.26
205.87755102040816,204.32,203.56,203.0,202.26,202.0
204.32,203.56,203.0,202.26,202.0,202.0
203.56,203.0,202.26,202.0,202.0,201.83673469387756
203.0,202.26,202.0,202.0,201.83673469387756,201.03225806451613
202.26,202.0,202.0,201.83673469387756,201.03225806451613,339.0
202.0,202.0,201.83673469387756,201.03225806451613,339.0,334.6666666666667
202.0,201.83673469387756,201.03225806451613,339.0,334.6666666666667,332.42
201.83673469387756,201.03225806451613,339.0,334.6666666666667,332.42,331.44
201.03225806451613,339.0,334.6666666666667,332.42,331.44,332.14
339.0,334.6666666666667,332.42,331.44,332.14,330.14285714285717
334.6666666666667,332.42,331.44,332.14,330.14285714285717,343.04
332.42,331.44,332.14,330.14285714285717,343.04,331.44
331.44,332.14,330.14285714285717,343.04,331.44,331.74
332.14,330.14285714285717,343.04,331.44,331.74,331.9
330.14285714285717,343.04,331.44,331.74,331.9,338.42
343.04,331.44,331.74,331.9,338.42,340.38
331.44,331.74,331.9,338.42,340.38,331.46
331.74,331.9,338.42,340.38,331.46,332.78
331.9,338.42,340.38,331.46,332.78,332.1020408163265
338.42,340.38,331.46,332.78,332.1020408163265,332.02564102564105
340.38,331.46,332.78,332.1020408163265,332.02564102564105,323.5
331.46,332.78,332.1020408163265,332.02564102564105,323.5,332.25
332.78,332.1020408163265,332.02564102564105,323.5,332.25,331.4347826086956
332.1020408163265,332.02564102564105,323.5,332.25,331.4347826086956,331.82
332.02564102564105,323.5,332.25,331.4347826086956,331.82,331.5882352941176
323.5,332.25,331.4347826086956,331.82,331.5882352941176,331.74
332.25,331.4347826086956,331.82,331.5882352941176,331.74,352.0204081632653
331.4347826086956,331.82,331.5882352941176,331.74,352.0204081632653,361.04
331.82,331.5882352941176,331.74,352.0204081632653,361.04,360.62
331.5882352941176,331.74,352.0204081632653,361.04,360.62,362.2857142857143
331.74,352.0204081632653,361.04,360.62,362.2857142857143,360.9591836734694
352.0204081632653,361.04,360.62,362.2857142857143,360.9591836734694,361.7755102040816
361.04,360.62,362.2857142857143,360.9591836734694,361.7755102040816,361.08
360.62,362.2857142857143,360.9591836734694,361.7755102040816,361.08,361.734693877551
362.2857142857143,360.9591836734694,361.7755102040816,361.08,361.734693877551,363.42105263157896
360.9591836734694,361.7755102040816,361.08,361.734693877551,363.42105263157896,361.5
361.7755102040816,361.08,361.734693877551,363.42105263157896,361.5,361.38
361.08,361.734693877551,363.42105263157896,361.5,361.38,363.0816326530612
361.734693877551,363.42105263157896,361.5,361.38,363.0816326530612,344.3125
